iter	RMSE
0	3773.495084
1	3568.204666
2	3369.293869
3	3182.396867
4	3003.085423
5	2840.951393
6	2680.809363
7	2530.834083
8	2394.025114
9	2265.413632
10	2148.783816
11	2041.662048
12	1939.239598
13	1847.521004
14	1762.183366
15	1678.598422
16	1602.972909
17	1530.978762
18	1463.784011
19	1403.667903
20	1344.905348
21	1291.703359
22	1244.174681
23	1199.385725
24	1156.39017
25	1116.390553
26	1080.480529
27	1048.894196
28	1017.446811
29	987.9541621
30	960.7004727
31	934.5088413
32	911.1840099
33	889.6687311
34	869.5583643
35	851.2257917
36	834.9332239
37	819.1554781
38	804.0084714
39	790.5531476
40	778.197794
41	767.1186875
42	756.0065031
43	746.4397801
44	736.8132202
45	728.0064092
46	719.9150056
47	712.5859017
48	703.6705272
49	696.8698489
50	690.8335551
51	684.1454763
52	677.8441186
53	673.4031662
54	667.8301875
55	662.6404515
56	657.0407121
57	652.7158086
58	648.4773763
59	644.4381312
60	640.4819944
61	637.450363
62	634.1267986
63	631.4527845
64	628.396769
65	625.4480273
66	622.4567306
67	619.4909879
68	617.4383894
69	615.5892095
70	613.0120221
71	611.4407364
72	609.2126166
73	606.6725417
74	604.8371145
75	602.6384
76	600.6041092
77	599.4984632
78	597.6728256
79	595.8502459
80	594.1252132
81	592.8009158
82	591.2246391
83	589.3522345
84	587.9739388
85	586.3010635
86	585.6566068
87	584.5625769
88	583.3198206
89	582.0121563
90	580.7485491
91	579.8353173
92	578.0858006
93	576.972955
94	575.4879063
95	574.0217299
96	572.8841416
97	571.9818121
98	571.139982
99	570.0950834
100	569.1496973
101	568.3901969
102	567.4267401
103	566.5297574
104	565.4271018
105	564.49169
106	564.0117644
107	563.366383
108	562.7038868
109	562.0440532
110	561.6435993
111	560.9019779
112	560.0749091
113	559.3991429
114	558.0924485
115	557.5472991
116	556.565072
117	556.1031732
118	555.6134489
119	554.8239359
120	554.2853087
121	553.8042998
122	552.5868725
123	552.1665431
124	551.5028651
125	551.0420301
126	550.3640587
127	549.9569978
128	549.4032212
129	549.0778563
130	548.2198081
131	547.7507317
132	547.3183772
133	546.8727075
134	546.3328326
135	545.8273034
136	545.2929711
137	545.0493405
138	544.9528778
139	544.4118966
140	543.9467643
141	543.5035651
142	543.1650508
143	542.5339882
144	542.2201106
145	541.4337448
146	541.3564954
147	540.7810295
148	540.1641131
149	539.9165288
150	539.4063689
151	539.248653
152	538.9391097
153	538.8695069
154	538.5264253
155	538.1198153
156	537.9059348
157	537.533247
158	537.1061236
159	536.3024288
160	535.7780063
161	535.4283944
162	534.6476939
163	534.2928888
164	533.861627
165	533.4859847
166	533.3198095
167	532.7399043
168	532.6826652
169	532.632053
170	531.831949
171	531.7588415
172	531.4254191
173	530.9947049
174	530.3106741
175	529.8714934
176	529.6122843
177	529.0886038
178	528.9414951
179	528.7521084
180	528.5360854
181	528.1102446
182	527.3503727
183	527.0978421
184	526.6705986
185	526.3628251
186	525.8382698
187	525.133528
188	524.6957429
189	524.354656
190	524.1164206
191	523.869153
192	523.6549616
193	523.1234148
194	522.769191
195	522.7304908
196	522.2537745
197	521.6225951
198	521.1824201
199	520.7082426
200	520.3832532
201	520.2019296
202	519.7797526
203	519.6116197
204	519.3201692
205	519.1056723
206	518.7888925
207	518.4891115
208	518.1630794
209	517.9742718
210	517.5479395
211	516.9644566
212	516.6121668
213	515.9701347
214	515.5298551
215	515.0509904
216	514.8378874
217	514.7744619
218	514.4635788
219	513.8874795
220	513.6102688
221	513.0973626
222	512.5119554
223	512.047258
224	511.4994396
225	511.4425854
226	511.0637735
227	510.7924851
228	510.3796246
229	510.1272925
230	509.8673044
231	509.6824019
232	509.3965659
233	509.1575273
234	508.8668266
235	508.5358189
236	508.1949915
237	507.954364
238	507.6950576
239	507.4651737
240	507.2265203
241	506.9174918
242	506.7601788
243	506.6227408
244	506.0320532
245	505.6167254
246	505.4833966
247	505.2190312
248	504.9373716
249	504.6228486
250	504.378324
251	504.2359976
252	504.0081913
253	503.7236268
254	503.5924836
255	503.3214897
256	503.147199
257	502.7769387
258	502.5578339
259	502.4206353
260	502.359436
261	501.9949746
262	501.6967428
263	501.4687152
264	501.194402
265	500.892121
266	500.5253717
267	500.3274933
268	500.2088509
269	499.9304311
270	499.6774623
271	499.4350255
272	499.2414175
273	499.092412
274	498.8492642
275	498.5461437
276	498.4280036
277	498.2059221
278	497.9215609
279	497.4341145
280	497.220458
281	497.0028353
282	496.775372
283	496.4927539
284	496.3332183
285	496.0683558
286	495.9431577
287	495.624856
288	495.1235778
289	494.9512667
290	494.6545792
291	494.3777701
292	494.1171299
293	493.8487069
294	493.4931609
295	493.2444313
296	493.0458047
297	492.8371572
298	492.6038862
299	492.3543156
300	492.1606269
301	491.7364699
302	491.2777668
303	490.9428912
304	490.6399492
305	490.3667894
306	490.1799301
307	489.6553971
308	489.2512958
309	489.011394
310	488.6529183
311	488.4818602
312	488.1532575
313	487.852073
314	487.5518127
315	487.3726971
316	487.2547741
317	486.9479887
318	486.7048948
319	486.4515127
320	486.2268822
321	486.0478443
322	485.8590976
323	485.5337355
324	485.2459988
325	484.9820689
326	484.5950893
327	484.3987153
328	484.2054557
329	484.0902093
330	483.946452
331	483.7233771
332	483.4159335
333	483.2532824
334	482.993259
335	482.7000531
336	482.3908824
337	482.1373516
338	481.9094524
339	481.6792711
340	481.4965609
341	481.1997511
342	480.9958406
343	480.7636455
344	480.6516817
345	480.328863
346	480.1463519
347	479.8377841
348	479.5632202
349	479.2680683
350	478.990171
351	478.768018
352	478.6415819
353	478.4733171
354	478.2159098
355	477.8714227
356	477.7001079
357	477.5211796
358	477.3357759
359	476.9493278
360	476.7566886
361	476.5142304
362	476.3318198
363	476.1281596
364	475.9331504
365	475.7705806
366	475.5865227
367	475.4208982
368	475.1710516
369	474.9542843
370	474.7697791
371	474.63004
372	474.4449988
373	474.2350515
374	474.1410814
375	473.8759826
376	473.7289121
377	473.4837177
378	473.3515733
379	473.1205687
380	472.9641621
381	472.8059961
382	472.6288579
383	472.4468679
384	472.2250813
385	472.0123856
386	471.7337707
387	471.5889008
388	471.3594635
389	471.2188901
390	471.0390723
391	470.8727975
392	470.7187991
393	470.5904244
394	470.4483755
395	470.2355452
396	470.0462995
397	469.9140221
398	469.7981135
399	469.6023498
400	469.4532056
401	469.2567693
402	469.1230601
403	468.9206199
404	468.7870458
405	468.586106
406	468.5309942
407	468.3634752
408	468.1684767
409	467.9556521
410	467.7697912
411	467.60855
412	467.4341079
413	467.2929253
414	467.1178721
415	466.9223959
416	466.81024
417	466.6367951
418	466.5124862
419	466.3165269
420	466.1312495
421	465.9500508
422	465.7818375
423	465.6001465
424	465.5127392
425	465.2889799
426	465.120648
427	464.9600486
428	464.7204571
429	464.5993406
430	464.4196832
431	464.2179029
432	464.0834177
433	464.0293135
434	463.8058367
435	463.6125597
436	463.4419022
437	463.1226596
438	463.02256
439	462.9680349
440	462.7220587
441	462.5668428
442	462.447205
443	462.2828366
444	462.0823195
445	461.944907
446	461.8201783
447	461.7116506
448	461.5368671
449	461.4281201
450	461.2461642
451	461.1330909
452	460.9597544
453	460.8145648
454	460.7124359
455	460.5154423
456	460.3049395
457	460.2115253
458	460.062073
459	459.9712627
460	459.8573427
461	459.5963006
462	459.4440099
463	459.3681604
464	459.3225603
465	459.2065042
466	458.9425636
467	458.8322186
468	458.6653807
469	458.4719834
470	458.2922984
471	458.1534496
472	458.1374587
473	458.0243743
474	457.806522
475	457.6996102
476	457.5112683
477	457.3689266
478	457.1609878
479	457.0124628
480	456.8670051
481	456.8442474
482	456.7317754
483	456.5567977
484	456.5250271
485	456.4354967
486	456.3234152
487	456.2400057
488	455.9996733
489	455.8952314
490	455.850987
491	455.7761949
492	455.6325722
493	455.4724268
494	455.3297256
495	455.2010111
496	455.0575671
497	454.9322538
498	454.8790405
499	454.7131669
500	454.528098
501	454.4788591
502	454.3675811
503	454.1758783
504	454.0585246
505	453.9854514
506	453.8415183
507	453.7394281
508	453.4682196
509	453.3161382
510	453.2026707
511	453.0730691
512	452.8733165
513	452.8031028
514	452.694281
515	452.5357031
516	452.4159213
517	452.3093271
518	452.1474792
519	452.0949044
520	452.0061543
521	451.8613796
522	451.7672034
523	451.656837
524	451.5298306
525	451.4970002
526	451.4098526
527	451.2599038
528	451.0890577
529	450.9175677
530	450.604341
531	450.4871356
532	450.4418339
533	450.3264197
534	450.2800749
535	450.1411743
536	449.9235892
537	449.6997885
538	449.4186041
539	449.2538246
540	449.0445722
541	448.8865522
542	448.7367808
543	448.6826911
544	448.5976613
545	448.3719076
546	448.2920514
547	448.1806778
548	448.0300747
549	447.854061
550	447.6663652
551	447.585646
552	447.359433
553	447.2958556
554	447.1631927
555	447.0480832
556	447.0099356
557	446.9721775
558	446.9348588
559	446.8040966
560	446.6798795
561	446.5640899
562	446.4679559
563	446.4123484
564	446.2910694
565	446.0978477
566	445.9332925
567	445.7480567
568	445.4947223
569	445.4610905
570	445.3321309
571	445.2490805
572	445.1826976
573	444.9886154
574	444.8671906
575	444.7119796
576	444.553249
577	444.391614
578	444.3576946
579	444.2501404
580	444.2161597
581	444.0357171
582	443.9975631
583	443.9684753
584	443.7158931
585	443.5831076
586	443.3398807
587	443.3092039
588	443.1525363
589	443.0337947
590	442.9302462
591	442.8226278
592	442.6616215
593	442.384833
594	442.3213127
595	442.2636649
596	442.1526828
597	441.9926608
598	441.8650521
599	441.8304226
600	441.6280719
601	441.5590653
602	441.3944142
603	441.2668409
604	441.1498246
605	441.0491538
606	440.8017558
607	440.6815005
608	440.5923384
609	440.5075973
610	440.4126946
611	440.3155397
612	440.0568297
613	440.014922
614	439.7905413
615	439.6856695
616	439.5324557
617	439.5004871
618	439.4020715
619	439.2992891
620	439.0888824
621	438.9447201
622	438.8717006
623	438.7657936
624	438.7383942
625	438.708035
626	438.5856792
627	438.5197694
628	438.3998474
629	438.2508088
630	438.1506563
631	438.0548986
632	437.9923566
633	437.9408348
634	437.8713193
635	437.7013319
636	437.6355899
637	437.5852214
638	437.5337823
639	437.3222748
640	437.2754422
641	437.1024266
642	436.9742179
643	436.8087929
644	436.7467119
645	436.6984315
646	436.5615517
647	436.4169594
648	436.2245786
649	436.088088
650	435.9926006
651	435.891857
652	435.740438
653	435.6651731
654	435.5873123
655	435.5407776
656	435.513725
657	435.3674136
658	435.1574118
659	435.0074441
660	434.7250239
661	434.6073706
662	434.4642901
663	434.4260064
664	434.3266591
665	434.2117807
666	434.1161021
667	433.9787647
668	433.8846245
669	433.8570589
670	433.8153389
671	433.6548761
672	433.4809871
673	433.3806851
